id	label
Aclv9drugo0_000050	people gargling
0QSPtpp1HN8_000030	hammond organ resonating
40sAH2ZB0Pg_000030	typing on keyboard
7ivVufYPEnA_000268	slapping table
cdbYsoEasio_000070	people cheering
1TAOyk0Xgss_000370	vacuum cleaner roaring
CjO1ZZZI8CE_000030	woman singing
U8rWZXjH2cU_000040	female yelling
aZNrJFxR9HU_000013	cat sneezing
jwZHGy2SI88_000215	snowmobile revving
yjXeSP2y-Tw_000027	baby babbling
jR-H47v1arg_000080	pigeon murmuring
UFyOGqmITjM_000000	violin squeaking
6wO8ORMfyFI_000430	steam release
1_yyvTRVoZQ_000209	alligator growling
U2Ek06LbrYs_000030	crow squawking
boPZxCznYbc_000030	crow pecking
1cwGW0cBdRs_000030	theremin whining
2VptepDtAZ4_000071	pheasant squawking
MYxhRD4RVmQ_000010	vacuum cleaner humming
BeHNQZRpizU_000098	missile exploding
mKEJRZtNx9o_000044	baltimore oriole pecking
gMBz6lX9HNQ_000202	electric shaver whirring
fESL2PLuIwA_000140	motorboat engine idling
yc4mmvlO39M_000030	woman coughing
VSxoWInFsIA_000030	owl clicking beak
eaLhdHS_3uU_000130	motorcycle engine revving
l7RTgupQWcc_000030	fireworks crackling
b0KSxH37gVE_000100	dog coughing
CRdma6NINIw_000030	repairing typewriter
V5a0OUeceeY_000042	snake hissing
wmStqt_0Ja4_000192	chimpanzee fighting
d0Uz_RnRV88_000460	tapping on guitar
E7m7feGvswI_000229	people drinking soup
edKvAj0fYxQ_000030	tapping on acoustic guitar
z7q3Ym9hxlA_000108	train horn blowing
9xV0nmojVeg_000030	tapping on acoustic guitar
XS-3djsJWTA_000360	strumming acoustic guitar
bnjo2Bx3_RE_000071	people whistling
lO7WoIty5h8_000195	electric shaver buzzing
GrACpo7aonA_000030	banging on drum kit
XaIep0xC8BA_000117	slapping table
ioQdfK6Ae9k_000000	slapping thighs
VkcsBNzy1UA_000091	men chanting
tFVvupXoRoM_000030	slapping bass guitar
SX07l57Ylmc_000031	gibbon laughing
XVqQKMMGoUs_000061	baltimore oriole chirping
iJ6DxdwyDeE_000064	chicken coughing
Okx87oCJg5g_000250	female crying
RZlDaLFuxxQ_000046	chipmunk squeaking
Z5X0bIh2Up8_000160	engine sputtering
XVi3kxnZ9h4_000045	man trilling
xZjbiCtvuNU_000896	ventilation fan humming
hnpnc72pQOQ_000677	police car alarm
5GyhFsJoiYc_000044	otter squeaking
qShzBJddv_s_000027	warbler whistling
6BCoBGdvyiQ_000162	missile engine roaring
1WLMVX_Y2Pk_000018	elephant roaring
AGTyP86x_Sc_000110	crowd clapping
QaKdsbkkmUc_000288	electric shaver whirring
DUNOn71oGCw_000040	strumming guitar
9J8sce4390s_000106	scraping washboard
ETJOLbXNiwA_000007	airplane taking off
GYQVFv7wGHY_000026	splashing water
-3Kv4fdm7Uk_000030	drumming on steelpan
cdEytWP8M9U_000057	air conditioner rattling
_X69MdLl5rU_000176	dog yelping
RfbXTxSx8jo_000350	eating celery
Oi855GiZQa0_000061	dinosaurs growling
PvqxX8mqtUc_000050	tapping on keyboard
t0E2aNbebu0_000010	child crying
Op6UazVNEQg_000003	telephone bell rattling
i7zNzUXtXj0_000215	popcorn snapping
ZXsQAXx_ao0_000050	man shouting
f9gjQDw0I5Q_000419	tapping fingers
17WW_p1N7BQ_000030	cat coughing
fJNauQt9Di0_000150	violin droning
v6mv66B4zXc_000013	car windows opening
AHIV0RMwnN8_000150	knocking on door
cGzNyfp3mW4_000030	race car tires squealing
