id	label
xjgC2ajAK0M_000001	monkey chattering
uEVID59IoHE_000030	person whistling
1eBzpkIY-TY_000198	cat hissing
RTLGAJZ8WzM_000219	rocket engine
xdcjFp3L0FE_000003	person whistling
3oGWyWYbFyk_000006	wolf howling
BUyHfzUvQX0_000005	dog snoring
9R6XN9-Z27U_000030	baby crying
3ypSlMWAZeo_000239	soldiers marching
n3rUVrPeFAQ_000135	truck horn
cN5WLE0XTsE_000185	playing snare drum
6OgSNQOTw2U_000060	printing press running
gklbB7TYoK4_000030	monkey chattering
1_Q80fDGLRM_000010	seal barking
qae-O4JFM0M_000135	gorilla beating chest
Bw_fNvTp6jg_000030	chainsaw revving
kx_G2a2hL6U_000153	pig snorting
3YI7HlxdMxQ_000208	cricket chirping
ghRyW0bkt8c_000105	burglar alarm sounding
eg-vJOCRwmo_000622	pig eating
_DGLk4D-leg_000018	playing conga
t9PEpPvVNzI_000310	artillery firing
FJ6cTKn5MUw_000010	heavy raining
GIWJpC_OW1E_000023	monster growling
eq2XqmviZD4_000085	choir singing
bWKYTH7OYXk_000220	shower running
WesKosc-_c0_000047	playing saxophone
2xQuWif8axE_000030	playing synthesizer
6Z8wLKsHcbw_000075	turkey gobbling
_Afs4B07Xog_000022	playing ukulele
OI4vBlF4O-Y_000052	bird singing
Skrr-UgHeHg_000008	bear growling
zNydHH-46z0_000043	playing clarinet
Pb1AZvbd0Jc_000111	lion roaring
r93h4dD3XRU_000020	jet engine starting
B6d2FiFv8tU_000002	rooster crowing
N-kdCENmuAs_000039	donkey braying
qm0u7bsHQeI_000044	baby babbling
XfLIbeSJSHE_000300	sash window opening or closing
4P518ZMug-U_000115	crowd cheering
8QHoSMEiBAg_000025	driving lawnmower
14lBeX_dOHU_000234	cricket chirping
A-odqVz9Oc4_000001	cat purring
QHPJK945JVg_000010	forklift beeping
rmL21Z7wZuk_000020	gas stove burning
LDGzSk_vzPo_000260	person shaking blanket
Le2MGWRa_SE_000030	snake hissing
HhUYxDk7_98_000018	person jogging
n5SqYqXBMXQ_000005	playing clarinet
qcBV8r9ADAw_000108	mouse squeaking
WGYzVpMeSEg_000210	hair dryer blowing
7SLiFO2MoHc_000017	bird chirping
4hYiaSYueCE_000216	playing saxophone
Gr-aT8sYNN8_000030	lawn mower running
DUNOn71oGCw_000040	playing piano
a23vS080B2E_000100	water boiling
RF3rog2YjYw_000030	monkey chittering
xV7nHX2RLjQ_000153	goose honking
WSuGM1DGvCM_000006	crowd roaring
U8rWZXjH2cU_000040	children singing
hQYRDNl-lGI_000382	fighter jet flying
BsnjK6DypAg_000030	foghorn blowing
d8bhrEHxJsA_000344	grinding machine running
tIPnM_oW39U_000173	wolves howling
ItIo1RvO0PE_000020	alarm bell ringing
1GDAnA4hAqQ_000105	rocket engine
eiXotzZ1hBI_000037	playing banjo
q0m71v7DDXc_000087	drum machine playing
edKvAj0fYxQ_000030	playing banjo
vh8Uh1zTLQw_000035	lion roaring
a8cRcNvRJgg_000064	horse snorting
EJwOhdjhxXY_000012	quail calling
KBOdG9xNLaA_000006	geese honking
LataVY-O5FA_000063	saw cutting
6dwkWDQSjkA_000057	quail calling
ti2rs-r9r3A_000110	elephant blowing water
etmmUjsRNRs_000030	playing ukulele
0Dt2-TtqvJU_000030	woman singing
HaLZD-2ppdU_000008	tiger growling
HPfBYRU8tVM_000030	man speaking
Nluf6HIYXXQ_000030	ambulance siren
uiLrE9GB0Uw_000023	microwave oven beeping
ZxiXftx2EMg_000477	lions roaring
7rMhrFb-DsE_000183	jet engine roaring
BKE_Z-iGErM_000041	hair clippers buzzing
xNoaAN29jXQ_000351	chainsaw running
Y7aU3aCEf5A_000030	playing piano
N2CdQ4bWCkE_000022	electric toothbrush buzzing
QWxrKBmwNw0_000030	typing on computer keyboard
sgkwq9a7mgU_000000	waterfall rushing
O3HG59u1yek_000030	kitten meowing
pf00DOALuZ0_000275	dog eating kibble
3PD-JrOG1WA_000000	dog sneezing
7nQxWCn_dBg_000160	bird chirping
GyHmkrrU0ZM_000125	robot glitching
Yn2KgQjK5R4_000200	shower running
D2IvCQMkGWk_000055	truck driving
MUC3GjvBI7I_000030	tap dancing
u0aPBeSCVvI_000000	baby chicken chirping
lLdaRlWf2GU_000040	person gargling
ImhA1R3CLI4_000480	pig eating
G4fTKotMoWI_000030	playing harp
uLdRi__nG2c_000030	typing on typewriter
9-b18y3Nexg_000285	truck horning
rg4bhfytF9A_000039	playing bass drum
KS_5Qiec4AI_000009	mouse squeaking
9JAatGaveSc_000035	cat screeching
17K-oEuH1p0_000020	playing trumpet
LC4vDpnkDtM_000063	lion roaring
IUgHJv3LBns_000089	dog eating kibble
aPGfndmW1zM_000263	playing air hockey
kWPAWeNuBKc_000506	metal grinding
QAgy9r331v0_000030	baby crying
6G1N9npWG2E_000030	playing piano
nEX4I5j6H-Y_000151	playing bongos
B7Iab-AC3Dw_000110	beatboxing
uRyLEBGX5ag_000020	fireworks exploding
rNQ0EBdxPvM_000030	electric drill drilling
G7qe64jM9zs_000200	geyser erupting
Rtg1SUrxOPY_000130	dog barking
ovmrWtaq3og_000017	playing trumpet
r3LmyYHbT4o_000005	playing saxophone
MnGVz1Xu4L4_000075	subway wheels squealing
qHDSQ2RC-sQ_000030	wine glass ringing
yqVMoUeG_wA_000010	carousel music
Fl_gvQ9bPvM_000129	vacuum cleaner running
bhA-HX-Z8h8_000200	bus accelerating
tpkiIAELa1k_000071	horse eating
ggjbkDEZKXQ_000090	cricket chirping
K3CenN7d30Y_000030	donkey braying
GrACpo7aonA_000030	playing buckets
C3yqIuEs_zQ_000430	stream gurgling
QdBB80CWUWU_000201	dog drinking water
CQpGLOiNpnI_000590	playing trumpet
Fl0yc47JSWM_000025	duck quacking
MYxhRD4RVmQ_000010	hair dryer running
yzvEwiMw7Hk_000135	playing violin
aqhhfkXKJ1o_000010	playing banjo
6Upef-zCzLM_000014	baby rattle shaking
phib36cTLiI_000062	wolf howling
Rz7RBslEAG0_000030	playing synthesizer
8ewn7JCJbEM_000030	baby crying
kKqIgmARIoA_000030	monkey hooting
3KQxT20mY-k_000030	dog barking
SmuyUnEZaJw_000030	duck quacking
9Ti98L4PRCo_000017	smoke detector beeping
mhQGbJQlVns_000002	cat yowling
gxVhAVNjSU0_000030	driving trucks
nXY2Vrfm0vY_000001	pinball machine
P8Uwpp00DBk_000000	rooster crowing
gf1y74QzhTI_000030	cat purring
fLZ5jPkCUOQ_000014	wolf howling
0oTdsarJHA4_000220	playing saxophone
RhsXiHgKzyY_000023	coyote howling
rISwHbEC01M_000016	car brakes squealing
emMPlK_7bdY_000003	alligator bellowing
c-_S5Tt-gbw_000490	typing on keyboard
zzvCPtdNxNo_000068	ambulance siren
ERxlveTpCnw_000137	file scraping metal
RpGRpTpEHTs_000109	cassette tape rewinding
5gJ_PWgJWIw_000420	jackhammer drilling
FF2bhR7s3VY_000030	soda fizzing
DUSKxRMntZY_000268	arcade machine
QnR9JhVGgu8_000348	truck engine idling
bLT5nbwpVOw_000000	playing trumpet
4GPDqOodSUU_000140	baby crying
kLNtUnSm7lc_000060	bus arriving
HJrYNAIm1AY_000110	coyotes yipping
qJCY09mrxtg_000216	lion roaring
6s2pBWctGDM_000006	maraca shaking
jr2kxASSRBY_000030	kitten meowing
mMf4vJFT8Fw_000030	playing acoustic guitar
9zW-E0XdWdw_000160	male singing
ti2rs-r9r3A_000001	elephant trumpeting
gMBz6lX9HNQ_000202	hair clipper buzzing
t-6BSzXBNbM_000051	sea lions barking
Ju4r0QU0Qg0_000018	lion roaring
LLkNFGrrgUo_000030	lion roaring
p6LLoRUj0nw_000145	drum machine playing
mcBEkWVDcmc_000107	lion roaring
S8RC6WZFqjk_000072	machine gun firing
iWiNV03Wa6Y_000072	cat hissing
R6hwadNOJcg_000052	playing clarinet
CL5vkiMs2c0_000010	forklift beeping
jKjj66pRXZA_000020	monk chanting
eSKFXcMdFXI_000606	dogs fighting
zwBmiXviAAM_000202	jet engine roaring
gaFQgJLQHtU_000090	chainsaw revving
QAoCyTYnAuc_000011	bulldozer engine running
9EsgN-WS2qY_000030	smoke alarm beeping
CT7CrLxIuQI_000030	turkey gobbling
C6Ex7oHBFdU_000030	monks chanting
ub4VKXpuZds_000030	tank engine starting
63Wmu5s4e88_000162	bulldozer pushing
AHIV0RMwnN8_000150	horse trotting
cq5rnI5NauM_000252	rocket launch
Y9pGt8ax3PA_000010	sharpening scissors
pjuHVmcoVFc_000036	playing clarinet
eiyyoUt64Zc_000100	playing saxophone
NpGTa9fRvUU_000030	go-kart driving
Guwl5G6Wr4Y_000030	playing violin
HQSHJVH2x4w_000024	grinding machine grinding
fTxaj8RU_gE_000093	playing violin
iq5Lh7AB1Ns_000019	playing xylophone
MoYPhggPrPg_000074	cat hissing
fESL2PLuIwA_000140	diesel generator running
9QjGgc1UkkU_000044	playing bongos
_r--eecSZRk_000024	race car passing
ZXsQAXx_ao0_000050	woman speaking
eu_Ehoag0Vg_000244	waterfall roaring
OUIkTOSII9w_000050	wolf howling
S6R2DpF6zzM_000018	person whistling
ktis2aZfphM_000010	playing violin
Ncdv7wCGgYE_000030	hair dryer
gd2-qjVH_DI_000032	playing bongos
JHM3zMBQxTQ_000030	playing guitar
SkFx45lxlvA_000060	tiger growling
F-mbfDB9bN4_000020	shower running
4JTxc-TKxPo_000092	dog chewing
HyqNo624chI_000114	person ululating
