id	label
MZFo739aKwI_000109	foghorn blowing
BKE_Z-iGErM_000041	bee buzzing
m4Dj_vTsAt0_000022	sawing wood
lI3P985JB7k_000149	sawing wood
YDpyBLAg2Ps_000280	machine gun firing
YbLR6dgY-K4_000030	typing on keyboard
VPM383zJz68_000030	cattle stampede
D0L-M4trkpw_000210	playing video game
gd2-qjVH_DI_000020	typing on keyboard
5X7flUpy7Ts_000015	foghorn blowing
nmRMfbrXwt0_000001	hornet buzzing
lv_tTIdHC2Q_000130	horse galloping
SB1dEgUQh3w_000187	siren wailing
A458iJLZGvg_000080	radio tuning
D2ISzNuhtxE_000009	violin playing
Vp4lOXVBQzQ_000010	blowing across bottle top
EBHtpU1tB3E_000000	air raid siren
bPzCbrmKoVY_000019	fire crackling
Klg9f9U3kDQ_000552	cello playing
lQNWx4KRlz0_000450	metal crushing
r8EDAvs9gLg_000027	foghorn blowing
tOTQJaRkmaY_000381	horse galloping
ThVGE9TjEjM_000136	ratchet wrench turning
ANxHyEeVnV8_000026	styrofoam rubbing
AhlnqK6ONro_000030	engine idling
eaLhdHS_3uU_000130	lion roaring
_sQ3jyZ2MnI_000000	chainsaw starting
gcyPMu7k1LM_000184	typewriter typing
qC9C5ejBrzg_000126	airplane cabin noise
8vasA2D2_Kc_000030	knocking on door
U95UReP4mdo_000030	sawing wood
tf7iVpC0nrU_000337	walking in wet mud
rXHHLtG_iGQ_000562	typewriter typing
eJSpibgl0-c_000030	chainsaw running
6taAP7SFewI_000030	bass drum beating
SPXhFGrgAoc_000091	boat motor running
SgCRYHWzTmU_000012	bee buzzing
WFgIargH3-4_000039	chopping wood
4_f33b75_LY_000160	squeaky toy
AIVt3e5EVtc_000070	engine sputtering
bgl8r_eRI1I_000000	squeaky toy squeaking
Fup02r6oh-8_000030	engine idling
m0GjXTf9Ls4_000171	video game music
MetDvJdgZ64_000049	engine chugging
6vFwzk19b4A_000010	woman laughing hysterically
YIN5D9ffrtE_000031	squeezing rubber toy
39rXWSXGOyo_000080	massaging device vibrating
ZwU142gcENM_000110	chopping wood
C3yqIuEs_zQ_000430	crowd murmuring
6dFdcTWdues_000400	cat meowing
I0Rj_topRmI_000005	electric razor buzzing
jEbK05u3Yq8_000011	rubbing styrofoam
WCC01d0hcBQ_000024	large metal door opening
w1-Rli9XnlI_000068	machine gun firing
p6EUe5qs7aw_000668	horse galloping
xZF-QuI4roY_000474	bee swarm
4GPDqOodSUU_000140	squeaky toy
GWlU-skSlAg_000100	tapping on glass
VV-DgnPPhSo_000220	violin playing
YCfGy7J2oFo_000051	horse galloping
bWyrxAZCOhA_000020	sawing wood
0NIE-eDk92M_000029	splashing in water
hv-gJtaC_uo_000302	insect buzzing
aWgRtDIA2U4_000029	rattlesnake rattling
G7qe64jM9zs_000200	building collapsing
bxKdKUZP41Y_000030	babbling brook
5DN1Q9s5B20_000030	aerosol can spraying
QqyUVqi3fOg_000095	microphone feedback
ZggvCXDeTPo_000355	machine gun fire
Ys9Tvftkin0_000070	cork popping
Hc_UM8l_sTg_000030	rubbing wet glass
4xWlOt4GOzs_000203	foghorn blowing
mZ6ALw9GOUU_000030	typing on keyboard
BLEthZXy35s_000250	large metal gears turning
koUnrPY_3n8_000007	morse code
B6V6cA5p08M_000083	engine misfiring
ktso7GeckG8_000130	heavy rainfall
GpCE19eTlaM_000079	squeezing rubber toy
Nayu_7okwmY_000032	knocking on wooden door
